3
#index mass radii x y z vx vy vz
1 5.9736e+24 6371000.0 7.823030435034517e-33 2.9945724810665947e-33 -6371000.0 3.911515217517258e-31 1.4972862405332973e-31 2.9578957001582254e-26
2 0.45 0.025 84.15379994823003 32.15499998027812 1.9960734920545549 7.6899974115016825 7.749999013905928 -0.19632539727225784
3 0.45 0.025 84.70899994792184 32.71819997996993 1.9960734920545717 10.44999739609225 10.909998998496498 -0.1963253972714126
1 5.9736e+24 6371000.0 2.348593520462762e-32 9.001044182576113e-33 -6371000.0 7.831452384796551e-31 3.0032358507547593e-31 5.915791403957742e-26
2 0.45 0.025 84.3075998445953 32.30999994073883 1.9882204761588298 7.689994818263767 7.749998023035292 -0.3926507947862503
3 0.45 0.025 84.91799984363672 32.93639993977531 1.9882204761588826 10.44999478574424 10.909997990269224 -0.39265079478445974
1 5.9736e+24 6371000.0 4.7005558218060284e-32 1.803674184771344e-32 -6371000.0 1.1759811506716332e-30 4.517848832568664e-31 8.873687115044489e-26
2 0.45 0.025 84.46139968900103 32.46499988128659 1.9764409523031503 7.6899922202863005 7.749997027388135 -0.5889761927839708
3 0.45 0.025 85.12699968701584 33.154599879281676 1.97644095230326 10.449992168955918 10.909996975318135 -0.5889761927811344
1 5.9736e+24 6371000.0 7.839874339445346e-32 3.0118992223557454e-32 -6371000.0 1.5696592588196584e-30 6.041125187922007e-31 1.183158283706441e-25
2 0.45 0.025 84.61519948135242 32.61999980182588 1.960734920473002 7.689989617569312 7.749996026964485 -0.7853015915074135
3 0.45 0.025 85.33599947793039 33.37279979835454 1.9607349204731914 10.449989545727247 10.909995953643199 -0.7853015915034297
1 5.9736e+24 6371000.0 1.1768233466285108e-31 4.5265122061166446e-32 -6371000.0 1.9641795634198805e-30 7.573064918804496e-31 1.4789478573663448e-25
2 0.45 0.025 84.76899922155468 32.77499970226116 1.9411023806490306 7.68998701011282 7.749995021764362 -0.9816269911985716
3 0.45 0.025 85.54499921625155 33.59099969685943 1.9411023806493246 10.449986916058203 10.909994925244394 -0.9816269911933386
1 5.9736e+24 6371000.0 1.6487317596230313e-31 6.349245811566356e-32 -6371000.0 2.3595420649726025e-30 9.113668027248553e-31 1.7747374328487546e-25
